0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/resources/css/ionicons.min.css HTTP/1.1" 200 46816
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/resources/css/style.css HTTP/1.1" 200 269826
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/popper.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.waypoints.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.magnific-popup.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/aos.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.stellar.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.animateNumber.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/scrollax.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/google-map.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/main.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/images/bg_1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/popper.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/bootstrap.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.easing.1.3.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.waypoints.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.stellar.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/owl.carousel.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.magnific-popup.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/aos.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/jquery.animateNumber.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/scrollax.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/google-map.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/resources/fonts/ionicons/fonts/ionicons.woff2?v=4.0.0-19 HTTP/1.1" 200 50592
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/js/main.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:39 +0900] "GET /kitri/resources/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [13/May/2020:14:22:40 +0900] "GET /favicon.ico HTTP/1.1" 404 761
